time,x,y,z
2016-04-20 09:42:27.097,-0.359375,-0.671875,0.078125
2016-04-20 09:42:27.107,-0.375,-0.75,0.0625
2016-04-20 09:42:27.116,-0.390625,-0.8125,0.03125
2016-04-20 09:42:27.126,-0.390625,-0.859375,0.0
2016-04-20 09:42:27.136,-0.375,-0.9375,-0.046875
2016-04-20 09:42:27.145,-0.375,-1.015625,-0.0625
2016-04-20 09:42:27.155,-0.359375,-1.109375,-0.078125
2016-04-20 09:42:27.165,-0.390625,-1.21875,-0.0625
2016-04-20 09:42:27.175,-0.46875,-1.34375,-0.015625
2016-04-20 09:42:27.184,-0.5625,-1.453125,0.015625
2016-04-20 09:42:27.194,-0.65625,-1.5,0.046875
2016-04-20 09:42:27.204,-0.75,-1.546875,0.078125
2016-04-20 09:42:27.214,-0.84375,-1.59375,0.140625
2016-04-20 09:42:27.224,-0.921875,-1.640625,0.203125
2016-04-20 09:42:27.233,-0.984375,-1.71875,0.234375
2016-04-20 09:42:27.243,-1.0,-1.796875,0.265625
2016-04-20 09:42:27.253,-1.015625,-1.796875,0.25
2016-04-20 09:42:27.263,-0.984375,-1.640625,0.25
2016-04-20 09:42:27.272,-0.90625,-1.453125,0.25
2016-04-20 09:42:27.282,-0.8125,-1.28125,0.265625
2016-04-20 09:42:27.292,-0.765625,-1.140625,0.265625
2016-04-20 09:42:27.302,-0.734375,-1.0,0.28125
2016-04-20 09:42:27.311,-0.671875,-0.890625,0.296875
2016-04-20 09:42:27.321,-0.625,-0.8125,0.28125
2016-04-20 09:42:27.331,-0.609375,-0.78125,0.265625
2016-04-20 09:42:27.340,-0.59375,-0.765625,0.25
2016-04-20 09:42:27.350,-0.578125,-0.75,0.21875
2016-04-20 09:42:27.360,-0.5625,-0.734375,0.203125
2016-04-20 09:42:27.370,-0.53125,-0.734375,0.1875
2016-04-20 09:42:27.380,-0.515625,-0.734375,0.171875
2016-04-20 09:42:27.389,-0.5,-0.734375,0.15625
2016-04-20 09:42:27.399,-0.5,-0.703125,0.125
2016-04-20 09:42:27.409,-0.484375,-0.65625,0.09375
2016-04-20 09:42:27.419,-0.46875,-0.625,0.0625
2016-04-20 09:42:27.428,-0.46875,-0.609375,0.0625
2016-04-20 09:42:27.438,-0.46875,-0.578125,0.046875
2016-04-20 09:42:27.448,-0.46875,-0.5625,0.0625
2016-04-20 09:42:27.458,-0.453125,-0.546875,0.078125
2016-04-20 09:42:27.467,-0.453125,-0.546875,0.09375
2016-04-20 09:42:27.477,-0.421875,-0.546875,0.125
2016-04-20 09:42:27.487,-0.40625,-0.546875,0.140625
2016-04-20 09:42:27.496,-0.390625,-0.546875,0.15625
2016-04-20 09:42:27.506,-0.359375,-0.546875,0.171875
2016-04-20 09:42:27.516,-0.359375,-0.546875,0.15625
