time,x,y,z
2016-02-25 15:10:42.400,-1.15625,-1.171875,0.375
2016-02-25 15:10:42.410,-1.25,-1.078125,0.375
2016-02-25 15:10:42.420,-1.359375,-1.0,0.390625
2016-02-25 15:10:42.430,-1.46875,-0.921875,0.40625
2016-02-25 15:10:42.440,-1.515625,-0.8125,0.453125
2016-02-25 15:10:42.450,-1.484375,-0.703125,0.484375
2016-02-25 15:10:42.460,-1.390625,-0.578125,0.484375
2016-02-25 15:10:42.471,-1.296875,-0.453125,0.46875
2016-02-25 15:10:42.481,-1.171875,-0.328125,0.453125
2016-02-25 15:10:42.491,-1.140625,-0.203125,0.421875
2016-02-25 15:10:42.501,-1.171875,-0.09375,0.390625
2016-02-25 15:10:42.511,-1.09375,-0.046875,0.34375
2016-02-25 15:10:42.521,-1.03125,-0.015625,0.3125
2016-02-25 15:10:42.532,-1.015625,0.046875,0.28125
2016-02-25 15:10:42.542,-1.0,0.109375,0.25
2016-02-25 15:10:42.552,-0.90625,0.125,0.203125
2016-02-25 15:10:42.562,-0.796875,0.15625,0.140625
2016-02-25 15:10:42.572,-0.703125,0.203125,0.078125
2016-02-25 15:10:42.583,-0.65625,0.265625,0.03125
2016-02-25 15:10:42.593,-0.703125,0.28125,0.0
2016-02-25 15:10:42.603,-0.796875,0.3125,0.015625
2016-02-25 15:10:42.613,-0.9375,0.265625,0.03125
2016-02-25 15:10:42.623,-0.96875,0.203125,0.09375
2016-02-25 15:10:42.633,-0.96875,0.171875,0.125
2016-02-25 15:10:42.644,-1.015625,0.140625,0.171875
2016-02-25 15:10:42.654,-0.96875,0.15625,0.109375
2016-02-25 15:10:42.664,-0.625,0.140625,0.0
2016-02-25 15:10:42.674,-0.546875,0.1875,0.0
2016-02-25 15:10:42.684,-0.859375,0.28125,0.0
2016-02-25 15:10:42.694,-1.09375,0.3125,0.046875
2016-02-25 15:10:42.705,-1.125,0.21875,-0.015625
2016-02-25 15:10:42.715,-1.078125,0.203125,-0.03125
2016-02-25 15:10:42.725,-1.171875,0.296875,-0.0625
2016-02-25 15:10:42.735,-1.25,0.28125,-0.109375
2016-02-25 15:10:42.745,-1.296875,0.25,-0.140625
2016-02-25 15:10:42.755,-1.328125,0.28125,-0.15625
2016-02-25 15:10:42.765,-1.328125,0.296875,-0.125
2016-02-25 15:10:42.776,-1.3125,0.296875,-0.109375
2016-02-25 15:10:42.786,-1.265625,0.3125,-0.09375
2016-02-25 15:10:42.796,-1.125,0.3125,-0.09375
2016-02-25 15:10:42.806,-0.96875,0.3125,-0.09375
2016-02-25 15:10:42.816,-0.859375,0.3125,-0.0625
2016-02-25 15:10:42.826,-0.8125,0.296875,-0.0625
2016-02-25 15:10:42.837,-0.75,0.265625,-0.046875
2016-02-25 15:10:42.847,-0.640625,0.1875,-0.0625
2016-02-25 15:10:42.857,-0.484375,0.125,-0.09375
2016-02-25 15:10:42.867,-0.34375,0.078125,-0.125
2016-02-25 15:10:42.877,-0.28125,0.015625,-0.125
2016-02-25 15:10:42.888,-0.28125,-0.0625,-0.171875
