time,x,y,z
2016-05-11 15:52:05.023,0.046875,-1.0,0.15625
2016-05-11 15:52:05.033,0.140625,-1.015625,0.078125
2016-05-11 15:52:05.043,0.25,-1.03125,0.0
2016-05-11 15:52:05.054,0.328125,-1.046875,-0.078125
2016-05-11 15:52:05.064,0.3125,-1.0625,-0.171875
2016-05-11 15:52:05.074,0.265625,-1.0625,-0.25
2016-05-11 15:52:05.085,0.1875,-1.046875,-0.3125
2016-05-11 15:52:05.095,0.109375,-1.03125,-0.34375
2016-05-11 15:52:05.105,0.0,-1.03125,-0.40625
2016-05-11 15:52:05.116,-0.109375,-1.046875,-0.40625
2016-05-11 15:52:05.126,-0.171875,-1.0625,-0.421875
2016-05-11 15:52:05.137,-0.15625,-1.0625,-0.484375
2016-05-11 15:52:05.147,-0.078125,-1.078125,-0.53125
2016-05-11 15:52:05.157,0.015625,-1.046875,-0.59375
2016-05-11 15:52:05.168,0.078125,-1.046875,-0.625
2016-05-11 15:52:05.178,0.078125,-1.03125,-0.640625
2016-05-11 15:52:05.188,0.015625,-1.03125,-0.65625
2016-05-11 15:52:05.198,-0.046875,-1.03125,-0.671875
2016-05-11 15:52:05.209,-0.171875,-1.03125,-0.703125
2016-05-11 15:52:05.219,-0.28125,-1.078125,-0.703125
2016-05-11 15:52:05.230,-0.34375,-1.125,-0.671875
2016-05-11 15:52:05.240,-0.390625,-1.1875,-0.578125
2016-05-11 15:52:05.250,-0.5,-1.203125,-0.515625
2016-05-11 15:52:05.260,-0.546875,-1.1875,-0.484375
2016-05-11 15:52:05.271,-0.546875,-1.1875,-0.4375
2016-05-11 15:52:05.281,-0.546875,-1.171875,-0.390625
2016-05-11 15:52:05.291,-0.53125,-1.125,-0.296875
2016-05-11 15:52:05.302,-0.515625,-1.0625,-0.203125
2016-05-11 15:52:05.312,-0.5,-1.015625,-0.109375
2016-05-11 15:52:05.322,-0.484375,-0.96875,-0.046875
2016-05-11 15:52:05.333,-0.484375,-0.953125,-0.015625
2016-05-11 15:52:05.343,-0.484375,-0.921875,0.015625
2016-05-11 15:52:05.354,-0.484375,-0.875,0.03125
2016-05-11 15:52:05.364,-0.4375,-0.859375,0.0625
2016-05-11 15:52:05.374,-0.4375,-0.859375,0.09375
2016-05-11 15:52:05.385,-0.453125,-0.84375,0.078125
2016-05-11 15:52:05.395,-0.484375,-0.8125,0.078125
2016-05-11 15:52:05.405,-0.5,-0.8125,0.09375
