time,x,y,z
2016-03-10 14:52:46.722,-0.1875,-1.359375,-0.265625
2016-03-10 14:52:46.732,-0.1875,-1.296875,-0.265625
2016-03-10 14:52:46.742,-0.203125,-1.25,-0.265625
2016-03-10 14:52:46.752,-0.203125,-1.203125,-0.25
2016-03-10 14:52:46.763,-0.203125,-1.15625,-0.234375
2016-03-10 14:52:46.773,-0.21875,-1.09375,-0.203125
2016-03-10 14:52:46.783,-0.234375,-1.0625,-0.171875
2016-03-10 14:52:46.793,-0.25,-1.015625,-0.15625
2016-03-10 14:52:46.803,-0.25,-0.96875,-0.140625
2016-03-10 14:52:46.813,-0.25,-0.921875,-0.15625
2016-03-10 14:52:46.824,-0.234375,-0.875,-0.15625
2016-03-10 14:52:46.834,-0.203125,-0.8125,-0.171875
2016-03-10 14:52:46.844,-0.1875,-0.765625,-0.1875
2016-03-10 14:52:46.854,-0.171875,-0.75,-0.1875
2016-03-10 14:52:46.864,-0.15625,-0.75,-0.1875
2016-03-10 14:52:46.875,-0.125,-0.75,-0.1875
2016-03-10 14:52:46.885,-0.078125,-0.75,-0.1875
2016-03-10 14:52:46.895,-0.046875,-0.75,-0.1875
2016-03-10 14:52:46.905,-0.03125,-0.75,-0.1875
2016-03-10 14:52:46.915,-0.015625,-0.75,-0.1875
2016-03-10 14:52:46.925,0.0,-0.765625,-0.203125
2016-03-10 14:52:46.936,0.0,-0.78125,-0.203125
2016-03-10 14:52:46.946,-0.015625,-0.8125,-0.1875
2016-03-10 14:52:46.956,-0.015625,-0.84375,-0.15625
2016-03-10 14:52:46.966,-0.03125,-0.890625,-0.15625
2016-03-10 14:52:46.976,-0.046875,-0.9375,-0.140625
2016-03-10 14:52:46.986,-0.03125,-0.96875,-0.140625
2016-03-10 14:52:46.997,-0.046875,-1.0,-0.140625
2016-03-10 14:52:47.007,-0.03125,-1.03125,-0.125
2016-03-10 14:52:47.017,-0.03125,-1.078125,-0.125
2016-03-10 14:52:47.027,-0.03125,-1.140625,-0.15625
2016-03-10 14:52:47.037,-0.015625,-1.1875,-0.203125
2016-03-10 14:52:47.047,-0.015625,-1.203125,-0.234375
2016-03-10 14:52:47.057,0.0,-1.25,-0.265625
2016-03-10 14:52:47.068,-0.03125,-1.3125,-0.25
2016-03-10 14:52:47.078,-0.078125,-1.421875,-0.234375
2016-03-10 14:52:47.088,-0.15625,-1.515625,-0.203125
2016-03-10 14:52:47.098,-0.234375,-1.578125,-0.171875
2016-03-10 14:52:47.108,-0.28125,-1.578125,-0.140625
2016-03-10 14:52:47.118,-0.328125,-1.578125,-0.125
2016-03-10 14:52:47.129,-0.34375,-1.609375,-0.09375
2016-03-10 14:52:47.139,-0.375,-1.6875,-0.078125
2016-03-10 14:52:47.149,-0.40625,-1.75,-0.09375
2016-03-10 14:52:47.159,-0.421875,-1.796875,-0.109375
2016-03-10 14:52:47.169,-0.453125,-1.796875,-0.125
2016-03-10 14:52:47.180,-0.453125,-1.78125,-0.140625
2016-03-10 14:52:47.190,-0.46875,-1.734375,-0.140625
2016-03-10 14:52:47.200,-0.5,-1.6875,-0.140625
2016-03-10 14:52:47.210,-0.515625,-1.65625,-0.125
2016-03-10 14:52:47.221,-0.53125,-1.609375,-0.109375
2016-03-10 14:52:47.231,-0.546875,-1.578125,-0.09375
2016-03-10 14:52:47.241,-0.5625,-1.53125,-0.078125
2016-03-10 14:52:47.251,-0.5625,-1.5,-0.0625
2016-03-10 14:52:47.262,-0.578125,-1.453125,-0.0625
2016-03-10 14:52:47.272,-0.5625,-1.390625,-0.0625
2016-03-10 14:52:47.282,-0.546875,-1.28125,-0.078125
2016-03-10 14:52:47.292,-0.53125,-1.171875,-0.0625
2016-03-10 14:52:47.303,-0.484375,-1.015625,-0.09375
2016-03-10 14:52:47.313,-0.46875,-0.90625,-0.109375
2016-03-10 14:52:47.323,-0.453125,-0.875,-0.109375
2016-03-10 14:52:47.333,-0.453125,-0.828125,-0.09375
2016-03-10 14:52:47.344,-0.46875,-0.796875,-0.078125
2016-03-10 14:52:47.354,-0.46875,-0.765625,-0.0625
2016-03-10 14:52:47.364,-0.46875,-0.75,-0.03125
2016-03-10 14:52:47.374,-0.46875,-0.734375,-0.015625
2016-03-10 14:52:47.384,-0.484375,-0.734375,-0.015625
2016-03-10 14:52:47.395,-0.5,-0.734375,0.0
2016-03-10 14:52:47.405,-0.53125,-0.765625,0.0
2016-03-10 14:52:47.415,-0.578125,-0.828125,0.03125
2016-03-10 14:52:47.425,-0.59375,-0.921875,0.03125
2016-03-10 14:52:47.436,-0.59375,-1.0,0.03125
2016-03-10 14:52:47.446,-0.578125,-1.09375,0.03125
2016-03-10 14:52:47.456,-0.578125,-1.1875,0.03125
2016-03-10 14:52:47.466,-0.59375,-1.25,0.03125
2016-03-10 14:52:47.477,-0.609375,-1.296875,0.015625
2016-03-10 14:52:47.487,-0.625,-1.328125,0.015625
2016-03-10 14:52:47.497,-0.625,-1.34375,0.015625
2016-03-10 14:52:47.507,-0.59375,-1.359375,0.0
2016-03-10 14:52:47.518,-0.546875,-1.34375,0.0
2016-03-10 14:52:47.528,-0.53125,-1.28125,0.0
2016-03-10 14:52:47.538,-0.53125,-1.1875,-0.015625
2016-03-10 14:52:47.548,-0.546875,-1.125,-0.03125
2016-03-10 14:52:47.559,-0.59375,-1.078125,-0.046875
2016-03-10 14:52:47.569,-0.625,-1.09375,-0.046875
2016-03-10 14:52:47.579,-0.65625,-1.125,-0.0625
2016-03-10 14:52:47.590,-0.6875,-1.1875,-0.0625
2016-03-10 14:52:47.600,-0.734375,-1.328125,-0.046875
2016-03-10 14:52:47.610,-0.78125,-1.515625,-0.015625
2016-03-10 14:52:47.620,-0.8125,-1.65625,0.0
2016-03-10 14:52:47.631,-0.78125,-1.71875,0.0
2016-03-10 14:52:47.641,-0.6875,-1.625,-0.03125
2016-03-10 14:52:47.651,-0.5625,-1.40625,-0.0625
2016-03-10 14:52:47.661,-0.515625,-1.234375,-0.109375
2016-03-10 14:52:47.672,-0.5,-1.109375,-0.125
2016-03-10 14:52:47.682,-0.5,-1.0625,-0.140625
2016-03-10 14:52:47.692,-0.515625,-1.109375,-0.15625
2016-03-10 14:52:47.702,-0.546875,-1.234375,-0.140625
2016-03-10 14:52:47.713,-0.53125,-1.328125,-0.140625
2016-03-10 14:52:47.723,-0.515625,-1.4375,-0.140625
2016-03-10 14:52:47.733,-0.53125,-1.53125,-0.15625
2016-03-10 14:52:47.743,-0.53125,-1.640625,-0.203125
2016-03-10 14:52:47.754,-0.515625,-1.734375,-0.25
2016-03-10 14:52:47.764,-0.453125,-1.8125,-0.296875
2016-03-10 14:52:47.774,-0.40625,-1.84375,-0.328125
2016-03-10 14:52:47.784,-0.34375,-1.828125,-0.328125
2016-03-10 14:52:47.794,-0.296875,-1.78125,-0.3125
2016-03-10 14:52:47.805,-0.265625,-1.703125,-0.3125
2016-03-10 14:52:47.815,-0.25,-1.59375,-0.28125
2016-03-10 14:52:47.825,-0.15625,-1.53125,-0.3125
2016-03-10 14:52:47.835,-0.1875,-1.4375,-0.28125
2016-03-10 14:52:47.846,-0.203125,-1.375,-0.265625
2016-03-10 14:52:47.856,-0.1875,-1.296875,-0.234375
2016-03-10 14:52:47.866,-0.203125,-1.234375,-0.21875
2016-03-10 14:52:47.876,-0.1875,-1.171875,-0.21875
2016-03-10 14:52:47.887,-0.1875,-1.109375,-0.1875
2016-03-10 14:52:47.897,-0.1875,-1.046875,-0.171875
2016-03-10 14:52:47.907,-0.203125,-1.0,-0.171875
2016-03-10 14:52:47.917,-0.203125,-0.9375,-0.15625
2016-03-10 14:52:47.928,-0.1875,-0.90625,-0.15625
2016-03-10 14:52:47.938,-0.171875,-0.859375,-0.15625
2016-03-10 14:52:47.948,-0.171875,-0.828125,-0.15625
2016-03-10 14:52:47.958,-0.15625,-0.796875,-0.15625
2016-03-10 14:52:47.969,-0.140625,-0.765625,-0.171875
2016-03-10 14:52:47.979,-0.125,-0.734375,-0.171875
2016-03-10 14:52:47.989,-0.09375,-0.71875,-0.171875
2016-03-10 14:52:48.000,-0.0625,-0.703125,-0.1875
2016-03-10 14:52:48.010,-0.046875,-0.703125,-0.1875
2016-03-10 14:52:48.020,-0.03125,-0.703125,-0.1875
2016-03-10 14:52:48.030,-0.03125,-0.734375,-0.1875
2016-03-10 14:52:48.041,-0.015625,-0.765625,-0.1875
2016-03-10 14:52:48.051,-0.03125,-0.78125,-0.1875
2016-03-10 14:52:48.061,-0.03125,-0.796875,-0.1875
2016-03-10 14:52:48.071,-0.03125,-0.828125,-0.1875
2016-03-10 14:52:48.082,-0.03125,-0.84375,-0.1875
2016-03-10 14:52:48.092,-0.03125,-0.890625,-0.1875
2016-03-10 14:52:48.102,-0.046875,-0.921875,-0.1875
2016-03-10 14:52:48.112,-0.0625,-0.953125,-0.1875
2016-03-10 14:52:48.123,-0.078125,-1.0,-0.203125
2016-03-10 14:52:48.133,-0.09375,-1.046875,-0.203125
2016-03-10 14:52:48.143,-0.109375,-1.109375,-0.1875
2016-03-10 14:52:48.153,-0.109375,-1.203125,-0.203125
2016-03-10 14:52:48.164,-0.109375,-1.265625,-0.234375
2016-03-10 14:52:48.174,-0.109375,-1.296875,-0.265625
2016-03-10 14:52:48.184,-0.109375,-1.328125,-0.28125
2016-03-10 14:52:48.194,-0.140625,-1.375,-0.265625
2016-03-10 14:52:48.205,-0.1875,-1.4375,-0.234375
2016-03-10 14:52:48.215,-0.265625,-1.5,-0.1875
2016-03-10 14:52:48.225,-0.328125,-1.53125,-0.171875
2016-03-10 14:52:48.235,-0.359375,-1.515625,-0.140625
2016-03-10 14:52:48.245,-0.375,-1.515625,-0.109375
2016-03-10 14:52:48.256,-0.359375,-1.53125,-0.109375
2016-03-10 14:52:48.266,-0.359375,-1.5625,-0.109375
2016-03-10 14:52:48.276,-0.375,-1.625,-0.09375
2016-03-10 14:52:48.286,-0.40625,-1.65625,-0.109375
2016-03-10 14:52:48.297,-0.421875,-1.640625,-0.109375
2016-03-10 14:52:48.307,-0.421875,-1.609375,-0.125
2016-03-10 14:52:48.317,-0.40625,-1.59375,-0.140625
2016-03-10 14:52:48.327,-0.390625,-1.59375,-0.140625
2016-03-10 14:52:48.338,-0.40625,-1.640625,-0.140625
2016-03-10 14:52:48.348,-0.4375,-1.671875,-0.125
2016-03-10 14:52:48.358,-0.484375,-1.65625,-0.078125
2016-03-10 14:52:48.368,-0.484375,-1.59375,-0.078125
2016-03-10 14:52:48.379,-0.5,-1.53125,-0.0625
2016-03-10 14:52:48.389,-0.5,-1.4375,-0.046875
2016-03-10 14:52:48.399,-0.5,-1.328125,-0.03125
2016-03-10 14:52:48.409,-0.5,-1.203125,-0.03125
2016-03-10 14:52:48.420,-0.5,-1.125,-0.03125
2016-03-10 14:52:48.430,-0.515625,-1.015625,-0.03125
2016-03-10 14:52:48.440,-0.5,-0.890625,-0.03125
2016-03-10 14:52:48.450,-0.453125,-0.796875,-0.03125
2016-03-10 14:52:48.460,-0.421875,-0.765625,-0.015625
2016-03-10 14:52:48.471,-0.40625,-0.734375,0.0
2016-03-10 14:52:48.481,-0.40625,-0.71875,0.0
2016-03-10 14:52:48.491,-0.4375,-0.703125,0.0
2016-03-10 14:52:48.501,-0.453125,-0.6875,0.0
2016-03-10 14:52:48.511,-0.484375,-0.65625,0.015625
2016-03-10 14:52:48.521,-0.484375,-0.640625,0.0
2016-03-10 14:52:48.532,-0.484375,-0.640625,0.015625
2016-03-10 14:52:48.542,-0.5,-0.65625,0.03125
2016-03-10 14:52:48.552,-0.5,-0.71875,0.046875
2016-03-10 14:52:48.562,-0.5,-0.796875,0.0625
2016-03-10 14:52:48.572,-0.5,-0.890625,0.046875
2016-03-10 14:52:48.582,-0.515625,-1.0,0.046875
2016-03-10 14:52:48.592,-0.515625,-1.09375,0.015625
2016-03-10 14:52:48.603,-0.515625,-1.203125,0.0
2016-03-10 14:52:48.613,-0.53125,-1.296875,0.0
2016-03-10 14:52:48.623,-0.5625,-1.40625,0.0
2016-03-10 14:52:48.633,-0.578125,-1.5,0.015625
2016-03-10 14:52:48.643,-0.578125,-1.515625,0.015625
2016-03-10 14:52:48.653,-0.546875,-1.46875,0.015625
2016-03-10 14:52:48.664,-0.5,-1.375,0.0
2016-03-10 14:52:48.674,-0.453125,-1.28125,-0.015625
