time,x,y,z
2016-02-25 15:17:57.748,-0.171875,-0.5625,0.078125
2016-02-25 15:17:57.757,-0.1875,-0.578125,0.09375
2016-02-25 15:17:57.767,-0.203125,-0.609375,0.109375
2016-02-25 15:17:57.777,-0.21875,-0.65625,0.125
2016-02-25 15:17:57.787,-0.234375,-0.703125,0.125
2016-02-25 15:17:57.797,-0.25,-0.765625,0.140625
2016-02-25 15:17:57.806,-0.265625,-0.84375,0.15625
2016-02-25 15:17:57.816,-0.28125,-0.921875,0.1875
2016-02-25 15:17:57.826,-0.328125,-0.984375,0.203125
2016-02-25 15:17:57.836,-0.34375,-1.046875,0.21875
2016-02-25 15:17:57.846,-0.375,-1.09375,0.234375
2016-02-25 15:17:57.856,-0.375,-1.15625,0.234375
2016-02-25 15:17:57.866,-0.390625,-1.21875,0.25
2016-02-25 15:17:57.875,-0.40625,-1.265625,0.265625
2016-02-25 15:17:57.885,-0.40625,-1.3125,0.28125
2016-02-25 15:17:57.895,-0.421875,-1.34375,0.296875
2016-02-25 15:17:57.905,-0.4375,-1.375,0.328125
2016-02-25 15:17:57.915,-0.46875,-1.390625,0.390625
2016-02-25 15:17:57.924,-0.484375,-1.34375,0.453125
2016-02-25 15:17:57.934,-0.46875,-1.234375,0.484375
2016-02-25 15:17:57.944,-0.453125,-1.09375,0.484375
2016-02-25 15:17:57.954,-0.421875,-1.0,0.484375
2016-02-25 15:17:57.964,-0.40625,-0.953125,0.5
2016-02-25 15:17:57.974,-0.40625,-0.953125,0.515625
2016-02-25 15:17:57.984,-0.421875,-0.96875,0.546875
2016-02-25 15:17:57.993,-0.4375,-1.015625,0.5625
2016-02-25 15:17:58.003,-0.4375,-1.0625,0.5625
2016-02-25 15:17:58.013,-0.40625,-1.125,0.5625
2016-02-25 15:17:58.023,-0.359375,-1.15625,0.53125
2016-02-25 15:17:58.033,-0.296875,-1.140625,0.484375
2016-02-25 15:17:58.042,-0.21875,-1.109375,0.421875
2016-02-25 15:17:58.052,-0.1875,-1.0625,0.359375
2016-02-25 15:17:58.062,-0.15625,-1.0,0.296875
2016-02-25 15:17:58.072,-0.15625,-0.9375,0.25
2016-02-25 15:17:58.082,-0.15625,-0.859375,0.234375
2016-02-25 15:17:58.092,-0.15625,-0.765625,0.203125
2016-02-25 15:17:58.102,-0.15625,-0.703125,0.203125
2016-02-25 15:17:58.111,-0.1875,-0.65625,0.203125
2016-02-25 15:17:58.121,-0.234375,-0.609375,0.1875
2016-02-25 15:17:58.131,-0.265625,-0.546875,0.203125
2016-02-25 15:17:58.141,-0.296875,-0.5,0.203125
2016-02-25 15:17:58.151,-0.34375,-0.46875,0.203125
2016-02-25 15:17:58.160,-0.390625,-0.421875,0.21875
2016-02-25 15:17:58.170,-0.421875,-0.40625,0.234375
2016-02-25 15:17:58.180,-0.46875,-0.390625,0.234375
2016-02-25 15:17:58.190,-0.5,-0.375,0.25
2016-02-25 15:17:58.200,-0.546875,-0.375,0.265625
2016-02-25 15:17:58.210,-0.59375,-0.40625,0.28125
2016-02-25 15:17:58.220,-0.625,-0.4375,0.296875
2016-02-25 15:17:58.229,-0.625,-0.453125,0.296875
2016-02-25 15:17:58.239,-0.625,-0.5,0.3125
2016-02-25 15:17:58.249,-0.609375,-0.53125,0.3125
2016-02-25 15:17:58.259,-0.578125,-0.578125,0.328125
2016-02-25 15:17:58.269,-0.59375,-0.625,0.34375
2016-02-25 15:17:58.278,-0.578125,-0.671875,0.359375
2016-02-25 15:17:58.288,-0.578125,-0.6875,0.375
2016-02-25 15:17:58.298,-0.546875,-0.71875,0.390625
